Milled wheat and wheat flour produced,,Total wheat milled 1,Total wheat flour produced 1,Millfeeds produced 2
14-Jan,Metric tonnes,247,192,58
14-Feb,,216,172,52
14-Mar,,232,181,54
14-Apr,,237,182,53
14-May,,247,193,56
14-Jun,,245,191,56
14-Jul,,306,206,61
14-Aug,,248,190,56
14-Sep,,250,195,59
14-Oct,,266,208,61
14-Nov,,244,191,56
14-Dec,,232,180,54
15-Jan,,248,187,57
15-Feb,,213,171,52
15-Mar,,249,191,59
15-Apr,,231,182,54
15-May,,243,193,58
15-Jun,,255,197,60
15-Jul,,295,195,59
15-Aug,,252,193,62
15-Sep,,270,203,63
15-Oct,,270,209,63
15-Nov,,265,199,64
15-Dec,,247,190,59
16-Jan,,243,188,55
16-Feb,,245,190,58
16-Mar,,250,184,58
16-Apr,,238,183,57
16-May,,246,184,56
16-Jun,,259,200,60
16-Jul,,308,198,60
16-Aug,,269,200,63
16-Sep,,262,200,61
16-Oct,,264,196,60
16-Nov,,260,200,61
16-Dec,,236,179,55
17-Jan,,249,190,56
17-Feb,,219,166,52
17-Mar,,259,198,59
17-Apr,,216,171,53
17-May,,250,197,60
17-Jun,,256,206,65
17-Jul,,269,188,60
17-Aug,,266,210,65
17-Sep,,273,205,62
17-Oct,,281,212,64
17-Nov,,279,206,63
17-Dec,,258,189,57
18-Jan,,269,205,60
18-Feb,,242,184,55
18-Mar,,259,193,61
18-Apr,,249,191,58
18-May,,278,208,60
18-Jun,,261,197,60
18-Jul,,273,204,63
18-Aug,,282,209,65
18-Sep,,262,198,61
18-Oct,,279,211,66
18-Nov,,287,216,68
18-Dec,,249,188,58
19-Jan,,273,206,64
19-Feb,,236,177,55
19-Mar,,273,208,62
19-Apr,,259,199,61
19-May,,281,213,65
19-Jun,,248,190,57
19-Jul,,277,213,63
19-Aug,,280,217,66
19-Sep,,266,205,61
19-Oct,,282,218,66
19-Nov,,279,215,64
19-Dec,,247,190,57
20-Jan,,273,206,62
20-Feb,,244,183,57
20-Mar,,284,216,65
20-Apr,,256,195,59
20-May,,259,198,60
20-Jun,,271,207,62
20-Jul,,277,208,63
20-Aug,,288,218,66
20-Sep,,286,217,66
20-Oct,,290,222,65
20-Nov,,283,218,64
20-Dec,,256,200,60
21-Jan,,254,197,59
21-Feb,,229,181,53
21-Mar,,267,210,61
21-Apr,,251,196,57
21-May,,248,191,56
21-Jun,,265,206,61
21-Jul,,261,205,60
21-Aug,,266,206,62
21-Sep,,273,210,63
21-Oct,,277,216,65
21-Nov,,281,217,66
21-Dec,,263,198,63
22-Jan,,260,201,60
22-Feb,,265,198,60
22-Mar,,276,208,63
22-Apr,,267,204,62
22-May,,273,207,63
22-Jun,,275,207,64
22-Jul,,277,206,64
22-Aug,,281,210,65
22-Sep,,292,221,68
22-Oct,,280,214,64
22-Nov,,283,217,64
22-Dec,,261,196,57
23-Jan,,269,205,60
23-Feb,,251,192,56
23-Mar,,292,223,66
23-Apr,,248,191,56
23-May,,282,212,63
23-Jun,,278,211,63
23-Jul,,275,209,62
23-Aug,,293,220,67
23-Sep,,293,218,65
23-Oct,,289,216,64
23-Nov,,301,225,67
23-Dec,,254,191,58
24-Jan,,275,208,61
24-Feb,,255,192,56
24-Mar,,263,196,59
24-Apr,,279,208,61
24-May,,285,214,63
24-Jun,,255,188,55
24-Jul,,288,214,63
24-Aug,,291,219,64
24-Sep,,259,196,56
24-Oct,,293,225,64
24-Nov,,293,216,63
